student_id,student_name,father_name,gender,age,class,python_marks,java_marks,ruby_marks,cpp_marks,sql_marks,city,admission_date
ID_54,,Karen Wilson,Female,17,BS-CS,eighty,,31,NULL,?,,"August 08, 2023"
56,  Valerie Jones  ,,M,-5,12th,44,90,absent,,?,East Luisport,not_a_date
57,Jessica Cline,Jeremiah Adams,,twenty,,66,,absent,,,,2005-01-12
,CRYSTAL ELLIOTT,Brian Peterson123,unknown,-5,BS-CS,,,,,25,Williamston,2021.04.16
,COREY WILSON,Alexandra Cisneros,Female,twenty,BSCS,59,48,-17,NULL,95,,not_a_date
ID_59,,Alicia Gonzales123,Male,-5,,eighty,90 ,absent,NULL,11,123City,"May 31, 2023"
61,Kelly Goodwin,Michael Rivers,F,-5,bs-cs,N/A,,absent,NULL,,123City,27/05/2023
,,Karen Palmer123,F,16,12th,eighty,,,12,-1,,not_a_date
63,,Sean Sanchez,,30,BSCS,51,1,,,?,123City,not_a_date
,  Heather Miller  ,Michael Jordan,Male,17,BSCS,eighty,-4,,NULL,,Wilcoxshire,not_a_date
65,Aaron Morgan,Charlene Hamilton123,Female,200,,eighty,,absent,85,131,JOSHUAVILLE,2003-03-03
ID_65,LARRY BENITEZ,unknown,,20,,eighty,90 ,absent,26,-7,MICHAELAFURT,2009-02-22
ID_66,,,,30,10th,55,90 ,absent,,?,EAST JOANNE,2025.05.22
,  Vanessa Flores  ,,unknown,200,bs-cs,8,90 ,,NULL,48,Garciastad,"September 28, 2025"
69,,Jorge Edwards123,Male,twenty,,eighty,90 ,,NULL,92,,2023.02.06
70,  Tonya Smith  ,Ann Hood,,200,BS-CS,N/A,90 ,absent,,,Bensonville,not_a_date
,rachel johns,Juan Haley123,,twenty,,33,90 ,,,45,Ericville,not_a_date
,  Heather Wade  ,Christopher Rodriguez,,,,eighty,90 ,,,?,WILLIAMSFURT,
ID_72,,Travis Combs,F,-5,,N/A,119,,42,,,
ID_73,kayla dixon,unknown,,,10th,eighty,,absent,58,?,,21/08/2021
75,MARVIN COX,unknown,M,-5,,eighty,90 ,32,NULL,?,,"August 07, 2023"
,Michelle Williams,,F,,BS-CS,eighty,38,0,,70,LAKE CHARLESTON,2024.07.04
77,MATTHEW MCDONALD,Mario Reynolds,unknown,,12th,eighty,59,,NULL,?,Markborough,2023.09.30
78,LISA HAHN,Howard Rivera Jr.,Female,-5,BS-CS,eighty,90 ,absent,,,BROWNMOUTH,2021.12.02
ID_78,,Meghan Acevedo,unknown,twenty,BSCS,eighty,62,,NULL,,123City,not_a_date
,david acosta,Christine Arellano,,200,BSCS,4,61,absent,35,15,,12/04/2021
81,,Jay Stewart,F,twenty,BSCS,eighty,90 ,106,76,?,,"March 09, 2025"
,,Erin Frost,,-5,BS-CS,eighty,,absent,,27,ARNOLDVIEW,"April 20, 2025"
,  Amanda Khan  ,unknown,unknown,-5,,,90 ,absent,,,123City,not_a_date
84,Tyler Elliott,unknown,M,200,,eighty,90 ,,NULL,?,,"December 28, 2023"
85,,Benjamin Gentry123,M,twenty,bs-cs,79,-1,,0,53,123City,2025.09.29
,  Sara Barnes  ,Derek Frazier,Female,15,,119,90 ,,,?,ROBERTSPORT,2009-03-30
87,,,unknown,twenty,BS-CS,eighty,90 ,-17,,?,123City,not_a_date
ID_87,,unknown,,-5,,,,absent,10,?,NICHOLASPORT,"June 14, 2022"
89,JESSICA BAKER,unknown,,twenty,10th,,,97,72,,East Karenburgh,"November 14, 2023"
90,,,F,,10th,eighty,90 ,absent,,,BROWNFORT,2001-05-09
ID_90,Kirk Garcia,Eric Esparza,F,27,,eighty,,71,,?,123City,"March 23, 2022"
ID_91,DAVID WOODS,Cheryl Graham,unknown,24,10th,67,,absent,,?,123City,2021.09.01
ID_92,,Meghan Mendoza123,Female,-5,BSCS,,90 ,79,20,,,not_a_date
ID_93,daniel moore,unknown,Female,twenty,bs-cs,37,90 ,68,54,?,,not_a_date
95,kelly jackson,unknown,,-5,,eighty,29,absent,67,129,,
96,  James Huff  ,unknown,F,22,bs-cs,-3,,absent,NULL,132,,"July 23, 2023"
ID_96,chad knight,,,23,BSCS,32,90 ,absent,NULL,,,1971-01-13
,Kayla Lloyd,unknown,Male,21,,118,,100,10,?,WEST JOHNNY,1981-01-27
99,  Kari Foster  ,,M,23,10th,,90 ,,15,?,,2024.10.27
ID_99,,Robert May,,200,bs-cs,,,57,NULL,-25,PARKERBURGH,not_a_date
101,  Chad Brooks  ,,Female,30,12th,N/A,90 ,absent,20,,Monicaberg,
102,jasmine middleton,Benjamin Beck,Male,200,12th,34,,absent,26,-47,,1995-07-23
103,nathan shelton,Brandi Wood123,M,15,,84,90 ,76,NULL,30,,"August 04, 2021"
ID_103,  David Collins  ,,unknown,18,bs-cs,N/A,50,61,NULL,?,Port Ashleymouth,"June 30, 2025"
105,RHONDA JAMES,Terri Wright123,unknown,twenty,,,90 ,absent,,104,,2024.01.01
,MARK LEWIS JR.,unknown,M,-5,,21,,85,43,,Chapmanton,"September 07, 2024"
,donna washington,Kayla Walters,M,26,10th,31,,82,,,,1985-02-07
ID_107,,unknown,F,,11th,,72,,59,,,not_a_date
ID_108,matthew rivera,Dylan Ryan123,F,twenty,BS-CS,N/A,,-17,NULL,?,NORTH DYLANVILLE,
110,Timothy Carter,David Davis123,,twenty,10th,N/A,,,NULL,?,,not_a_date
,,,Female,200,BS-CS,N/A,90 ,,50,?,Lake Kimberlyton,not_a_date
112,jessica larson,Ariana Gillespie123,,,,,72,absent,NULL,9,123City,
113,Ian Willis,Laura Salas,Male,,BS-CS,,98,absent,NULL,,,
ID_113,james cameron,,M,-5,10th,eighty,,28,1,?,HILLBOROUGH,
115,Lauren Guzman,,M,-5,,eighty,36,absent,49,29,Jonesview,2024.01.02
116,Mary Perkins,Dr. Steven Rodriguez,unknown,,12th,N/A,,85,88,-39,EAST KEITH,1995-06-25
117,,Justin Nelson,unknown,twenty,bs-cs,,24,absent,,28,Englishton,1993-12-14
,danielle norton,,,twenty,,,,absent,,?,Jamesville,"March 25, 2024"
119,raymond benson,Nancy Pearson,Female,-5,,15,90 ,-7,,91,,
,ANGELA MCCARTHY,,,-5,,,,92,69,,WATSONTOWN,1973-10-10
ID_120,BENJAMIN THOMAS,David Wyatt123,,,,eighty,7,,,94,,
122,kelly grimes,Frank Howell123,M,200,BS-CS,,35,absent,92,45,CARMENMOUTH,
123,Luis Barnes,Rachel Murray,,22,,N/A,125,,,71,,2022.11.16
ID_123,Thomas Roberts,Robert Scott123,,-5,12th,,62,,NULL,?,West Mariashire,2003-01-14
125,Melissa Andrews,Katherine Thompson,M,200,BS-CS,58,90 ,,NULL,-42,Allisonmouth,2022-09-26
126,Nicole Harris,unknown,F,18,10th,,,9,NULL,?,,2022.07.30
127,,Richard Medina,F,200,12th,N/A,,,67,?,,
,Roberto Hill,,,200,bs-cs,9,90 ,-26,,99,,not_a_date
129,,Christine Oconnor,,30,,-15,,22,,63,New Tiffany,1988-12-11
130,,David Smith,F,23,,,66,absent,NULL,80,,2021.03.14
,  Mr. Joseph Foster  ,,unknown,30,BS-CS,N/A,90 ,absent,3,,,not_a_date
132,,Christina Rose123,M,twenty,10th,N/A,107,83,24,119,,not_a_date
ID_132,cassidy williams,Curtis James,M,21,BSCS,,,absent,NULL,91,,
134,,,Male,29,bs-cs,-17,77,,NULL,?,,"November 16, 2022"
135,douglas swanson,unknown,Female,twenty,10th,,90 ,-17,NULL,?,,2025.06.01
ID_135,MICHELE BOWEN,Amanda Edwards,Female,20,12th,N/A,90 ,absent,28,,RHONDAVIEW,not_a_date
137,KERRY RAY,Jennifer Kramer MD,Female,twenty,bs-cs,eighty,64,absent,,137,SOUTH WILLIAMBERG,2019-09-17
ID_137,,unknown,,23,11th,34,,,NULL,-35,,1970-03-21
139,,Katelyn Gordon,M,,,eighty,,,NULL,38,123City,1987-07-07
ID_139,,Michael Young,unknown,twenty,12th,41,116,,,?,,not_a_date
141,,Laura Black,F,-5,11th,N/A,90 ,57,,-40,,not_a_date
142,,unknown,,twenty,BS-CS,N/A,,86,,-10,,not_a_date
143,,unknown,Male,,bs-cs,eighty,,105,66,?,123City,
144,christina phillips,,F,-5,10th,91,5,75,NULL,?,,30/01/2024
,,Diane Gray123,unknown,200,BSCS,12,93,absent,4,,Churchside,"February 27, 2025"
,Cynthia Reynolds,Brian Smith,M,,BS-CS,49,,26,14,,WEST JAMES,"April 07, 2021"
ID_146,Timothy Boyle,Mr. Christopher Anthony,,twenty,bs-cs,46,90 ,99,NULL,?,,15/08/2024
148,Michael Smith,unknown,Male,twenty,bs-cs,,,absent,14,,Kristophermouth,"March 29, 2025"
149,,Michael Taylor,unknown,-5,BS-CS,28,90 ,,28,?,East Ann,"August 14, 2022"
,,Kathy Martin123,Male,,12th,N/A,,51,95,,Hannahfort,21/12/2021
ID_150,,Elizabeth Mayer123,Male,twenty,bs-cs,115,115,absent,NULL,103,,"June 23, 2024"
152,Gregg Watson,,M,twenty,,N/A,90 ,-24,NULL,,123City,2012-06-29
ID_152,,,Male,-5,,eighty,90 ,43,NULL,,123City,27/11/2023
154,  Donna Jensen  ,Amy Carpenter123,,,,53,90 ,,NULL,,,01/06/2021
ID_154,  Kevin Edwards  ,,Male,-5,10th,118,90 ,,,?,,2009-12-11
156,,Caitlyn Rowe123,M,,12th,eighty,126,absent,,?,123City,"May 07, 2025"
ID_156,LARRY RIVERA,Michelle Martinez,,-5,12th,eighty,39,absent,,,123City,not_a_date
158,  Jeremiah Yang  ,Timothy Mccann,unknown,,11th,N/A,,,NULL,45,123City,"February 08, 2022"
,crystal smith,unknown,Male,-5,,eighty,12,absent,68,,123City,
,Heather Thompson,Elizabeth Boyd123,M,,,N/A,90 ,,52,?,NEW SAMUELFORT,"August 29, 2022"
,,Desiree Carter123,unknown,200,10th,50,90 ,,,?,,06/05/2023
162,ANNE CROSBY,Kenneth Smith123,Female,21,,57,,44,,?,NORTH CRYSTAL,19/02/2022
163,DAVID HARDY,Mrs. Deborah Holmes,M,twenty,11th,eighty,42,66,,?,New Josephport,17/09/2023
,aaron wiggins,,,-5,,N/A,,absent,,36,PORT APRILSHIRE,09/05/2023
,ANGELA MARTINEZ,Melissa Bullock123,,twenty,BS-CS,N/A,,,94,?,LAKE DAVID,
ID_165,KEITH ABBOTT,Christopher Mccarthy,Male,24,11th,,41,absent,NULL,78,,not_a_date
,kevin marsh,Jennifer Cooper123,,200,BSCS,27,,,29,,Brentburgh,2024.05.13
168,Candice Shelton,unknown,Male,18,BSCS,eighty,90 ,11,,?,123City,18/10/2025
169,JASON HUDSON MD,Jeffery Reynolds,Female,200,BSCS,33,,101,NULL,?,,not_a_date
ID_169,  Jason Bell  ,unknown,Female,twenty,,N/A,90 ,,NULL,?,,
171,dustin washington,Rachel Fisher,Male,,,,,absent,NULL,?,BRIDGETSTAD,11/01/2023
172,  Jacob Lane  ,,M,twenty,BS-CS,15,90 ,60,,?,LAWRENCEBOROUGH,not_a_date
173,jessica miller,Michele Olson123,Female,200,,N/A,90 ,-12,NULL,,,not_a_date
ID_173,Jason Mueller,Susan Reyes,M,twenty,BS-CS,,,72,,?,,2005-08-03
,carrie howard,,M,200,,N/A,,,NULL,?,,04/05/2021
176,bradley newton,Megan Decker,Male,,BSCS,eighty,124,absent,,?,Port Ryan,"November 02, 2022"
,  Catherine Henry  ,Brian Franco,,19,BS-CS,N/A,90 ,61,10,,New Austinview,04/04/2025
178,,Dr. Calvin Webb,,,,88,,,,134,Kristinaville,
,MICHAEL BARRERA,Kimberly Williams,F,-5,11th,N/A,21,,29,17,,2023.06.22
180,,unknown,M,16,10th,N/A,,,56,,,"April 25, 2022"
181,eric perry,unknown,M,,BSCS,eighty,90 ,absent,38,,123City,2024.09.27
,,Danielle Beck123,M,,,eighty,51,absent,96,,ELIZABETHTON,2001-07-19
,Michelle Kelly,Kathryn Orr123,unknown,-5,10th,51,,absent,NULL,,,not_a_date
ID_183,angela gilmore,Madeline Washington,F,16,11th,eighty,,8,4,,Jasonton,1975-09-11
,  James Garcia  ,Brandon Houston123,unknown,-5,bs-cs,eighty,,,,121,,
186,michelle crawford,Jennifer Hernandez,,,bs-cs,100,113,-22,,?,ANTHONYTOWN,2023.03.26
187,  Angela Harris  ,Candice Schultz,F,,11th,eighty,,98,,,,not_a_date
188,,Danielle Arroyo,Female,,BSCS,eighty,90 ,11,,39,HUDSONBOROUGH,06/03/2023
189,,Deborah Baird,M,twenty,10th,-16,,42,17,123,123City,1978-11-28
,  Taylor Myers  ,unknown,F,-5,,N/A,,absent,70,118,,29/03/2022
191,  Cassandra Salinas  ,unknown,Male,,BSCS,,,absent,63,?,,
ID_191,  Tonya Fernandez  ,Troy Thornton,,,BS-CS,,,-2,NULL,?,123City,not_a_date
,,Angela Bell123,Female,,10th,,90 ,,,?,123City,not_a_date
,,John Ramirez123,,twenty,bs-cs,,,absent,,-20,123City,01/02/2023
195,PEGGY ATKINS,Taylor Rivas123,Male,twenty,10th,7,,93,79,?,Sullivanport,1971-01-28
,,Melvin Logan,Female,,bs-cs,N/A,50,absent,88,,,not_a_date
ID_196,,Jessica Williams123,M,twenty,11th,N/A,,absent,,140,,2025.04.15
198,  Brittany Black  ,Penny Benjamin123,F,-5,11th,,114,85,50,,West Matthew,
199,BRANDON POWERS,Nicole Bautista123,M,,10th,,,70,44,-25,WEST KIMBERLYSIDE,not_a_date
,JESSICA DOYLE,Kimberly Waters123,M,twenty,,,,,,57,Port Julie,27/06/2021
ID_200,,Theresa Stephenson,F,27,11th,eighty,90 ,59,73,?,GRAYFORT,"August 20, 2025"
,Derek Wright,unknown,,200,12th,,,0,,,,not_a_date
203,,unknown,Male,-5,11th,,,101,NULL,35,ROBINSONBURY,not_a_date
,CASSANDRA SMITH,George Decker,M,twenty,,eighty,,,NULL,?,,2023.10.28
205,,unknown,Male,,BSCS,N/A,,absent,NULL,?,123City,2014-12-26
ID_205,zachary gomez,Dustin Flynn,F,27,,,,absent,,,123City,1980-02-10
207,MELISSA HARDIN,,Male,200,bs-cs,57,90 ,58,,,,2020-10-16
ID_207,,Martin Nelson,Female,200,BS-CS,27,21,-18,21,?,MILLERVIEW,
,  Lynn Flynn  ,unknown,unknown,-5,,N/A,100,104,91,121,123City,1971-06-30
210,Gwendolyn Weaver,,Female,19,12th,32,,12,NULL,,123City,not_a_date
ID_210,DAVID BEAN,unknown,M,twenty,,eighty,,absent,,12,Noahburgh,1987-04-09
,DONNA SMALL,,,,BSCS,,,,,,NEW PHYLLISCHESTER,
213,beth mitchell,unknown,,-5,bs-cs,eighty,90 ,absent,NULL,?,SELENAHAVEN,"June 13, 2025"
214,,,Female,,BSCS,113,9,,59,?,BRIANFORT,not_a_date
215,,Misty Rios,Male,18,11th,,,absent,4,,Port Teresafort,
ID_215,William Goodwin,Patrick Allen,M,,11th,-18,,22,NULL,?,ROBERTFORT,1989-08-05
217,ELIZABETH ROBINSON,Teresa Thompson,unknown,twenty,10th,,,absent,NULL,,123City,not_a_date
ID_217,,,,,12th,N/A,,absent,41,34,RICHARDBOROUGH,not_a_date
219,,unknown,Male,25,,N/A,90 ,,63,?,PORT CHRISTOPHERMOUTH,2021.08.22
,Matthew Tate,Jennifer Carter,,-5,bs-cs,32,61,84,14,61,,1979-11-14
ID_220,  Anna Mccullough  ,Christopher Hall,Male,twenty,11th,,,absent,,,South Steve,2021.11.13
,,,,,,,32,82,NULL,?,Port Linda,1990-07-01
ID_222,aaron mcmahon,unknown,Male,-5,BSCS,N/A,,absent,NULL,17,HOWEBERG,not_a_date
ID_223,,Nicholas Jones,,16,bs-cs,,90 ,absent,NULL,,,2025.01.13
,,unknown,,200,BSCS,0,,absent,,70,NORTH ROBERTO,"April 06, 2022"
226,NICOLE OWEN,unknown,,200,BS-CS,eighty,,absent,,,Johnberg,1995-12-16
227,steven hodges,unknown,,,10th,N/A,129,,,,,2023-09-29
228,Jose Haynes,Andrew Camacho,Male,19,12th,eighty,,,85,111,Lindaville,
ID_228,,unknown,Female,-5,11th,69,25,61,,?,,2018-11-22
,Sara Brown,Haley Santiago123,F,19,10th,eighty,,,NULL,,,
,,unknown,M,,BSCS,eighty,104,absent,49,?,,not_a_date
232,  Roy Reid  ,unknown,Male,,,eighty,90 ,10,31,49,Hamptontown,"November 29, 2022"
ID_232,,Kathryn Williams,F,24,,104,,absent,NULL,,Sherritown,
234,JULIE JOHNSON,Tammy Murphy123,,200,,,,-16,,-31,,
235,JAMES DAVIS,unknown,unknown,25,BSCS,eighty,90 ,13,,?,LAKE PETERMOUTH,2021.11.16
,craig jenkins,Jacqueline Jackson DVM,unknown,-5,bs-cs,,,,NULL,?,123City,1988-04-10
,joan white,Tyler Cunningham,,-5,,,,74,11,,Jasonton,2021.10.09
,,unknown,Male,twenty,BS-CS,,-1,,,?,South Mark,03/06/2024
,,Dr. Douglas Roberts123,F,,BS-CS,N/A,,24,,?,123City,2023.08.06
240,  Jacqueline Jackson  ,unknown,,twenty,BS-CS,,,43,NULL,31,,12/07/2022
241,katherine york,,,200,BS-CS,105,90 ,,31,,PEREZTON,"October 11, 2021"
242,Kyle Herrera,Victor Bailey,,-5,11th,N/A,,absent,NULL,?,,
243,  Ryan Wilcox  ,,,,12th,eighty,124,absent,50,,West John,
,Julia Watson,Sandra Deleon,,twenty,BS-CS,,,16,,,123City,
245,natalie clark,Amy Richardson,,twenty,10th,N/A,,1,96,?,Leeburgh,1999-10-07
246,WILLIAM JACKSON,Julie Schneider PhD,Male,twenty,BSCS,9,94,,NULL,,123City,09/10/2025
,Robert Johnson,Richard Sparks123,,-5,BSCS,N/A,90 ,,NULL,?,,
248,  Margaret Reese  ,David Yoder123,,15,11th,eighty,,,,,,24/10/2022
249,melissa wilson,Shari Wright,unknown,,BS-CS,N/A,90 ,59,34,31,,2008-02-23
250,,unknown,Male,200,BSCS,-14,130,absent,NULL,,,2016-09-23
ID_250,,unknown,Male,,BS-CS,eighty,,,NULL,141,NORTH SHARONHAVEN,2020-02-06
ID_251,NATHAN HARDIN,Elizabeth Garcia,,twenty,BSCS,eighty,,,,,South Stephaniefurt,
,  Vanessa Booth  ,,F,22,,eighty,90 ,84,NULL,,123City,not_a_date
,,Suzanne Sims123,F,24,10th,eighty,11,86,NULL,,Lake Tracy,16/02/2025
ID_254,JOSEPH WILSON,unknown,M,-5,bs-cs,eighty,21,,55,-11,123City,"August 17, 2021"
256,,,F,200,BSCS,eighty,90 ,28,33,19,,23/05/2022
ID_256,Brandon Taylor,unknown,,,BSCS,N/A,,,,?,123City,2017-04-25
258,,unknown,Male,200,BS-CS,54,90 ,2,66,?,123City,1996-01-09
,  Jason Smith  ,James Carter,Male,-5,12th,N/A,90 ,-6,,,,21/06/2023
ID_259,,Tara Benson123,,twenty,,N/A,,,63,,,not_a_date
261,Veronica Sims,Anthony Stokes123,F,,BSCS,eighty,90 ,absent,31,,,not_a_date
ID_261,,,,21,12th,N/A,,4,NULL,,123City,17/07/2025
,Veronica Watson,unknown,Male,200,BSCS,eighty,90 ,25,NULL,-35,Lake Rhonda,not_a_date
,thomas lee,David Carr,,twenty,11th,79,-9,absent,56,?,Cherylshire,not_a_date
,,Wanda Villarreal,Female,200,,N/A,121,,7,-49,Joneshaven,2023-11-04
,,,M,200,,eighty,90 ,70,NULL,-9,123City,"May 01, 2024"
267,,Antonio Wright,Male,,,N/A,,absent,,?,Port Kimberly,not_a_date
,,unknown,unknown,200,12th,N/A,,,NULL,?,,"August 28, 2024"
ID_268,deanna howard,John Kelly,M,-5,,eighty,90 ,44,64,63,,"March 23, 2022"
270,,unknown,,200,10th,,55,absent,,?,New Alexandraport,not_a_date
271,LOGAN SHAH,Bobby Fernandez,,200,BS-CS,eighty,,absent,59,?,123City,"January 08, 2026"
272,maria brock,unknown,unknown,twenty,,eighty,,,56,70,Michaelport,1981-08-01
273,Christian Smith,Renee Heath,F,twenty,BS-CS,N/A,90 ,83,5,?,123City,not_a_date
ID_273,lisa harris,,Female,,11th,eighty,100,32,NULL,?,NORTH MEGHAN,not_a_date
275,  Brittany Thomas  ,,F,-5,BSCS,117,,absent,,,,"November 07, 2024"
276,martha fernandez,,Male,200,BSCS,115,,,,?,ANDREWSIDE,
,  Tara Lewis  ,Erin Hopkins,,twenty,10th,,90 ,absent,NULL,-24,123City,16/03/2025
278,TONY JACKSON,,F,,bs-cs,N/A,90 ,,NULL,?,,"April 10, 2024"
279,JOSHUA UNDERWOOD,unknown,unknown,-5,10th,eighty,52,99,NULL,-43,,30/04/2024
ID_279,,Jacob Shelton123,unknown,-5,12th,N/A,62,absent,,?,LAKE LORIBERG,
281,  Nicole Fisher  ,Courtney Blair,Female,twenty,,eighty,,-17,NULL,30,123City,
282,,Stephanie Wiggins,,-5,BS-CS,eighty,,,35,?,,not_a_date
283,James Jackson,,unknown,25,10th,83,,absent,,?,,
284,,Eric Greene,Female,-5,,,,absent,NULL,,Danielleview,
285,tanya buck,Crystal Walker,M,,,50,,,NULL,66,Lopezland,2014-03-24
ID_285,,James Lee,Female,,BS-CS,78,90 ,,NULL,?,LAKE CHRISTOPHERSTAD,07/03/2025
,,Dr. Thomas Blanchard,unknown,,BSCS,N/A,61,absent,,75,ALYSSABURY,"July 28, 2023"
288,,,F,,BSCS,eighty,4,absent,,?,123City,not_a_date
289,,Melissa Melton,unknown,200,11th,53,90 ,,NULL,?,,1990-10-17
ID_289,,unknown,M,,BS-CS,eighty,90 ,,NULL,136,,not_a_date
291,  Matthew Anderson  ,unknown,Female,22,10th,,124,absent,,?,,06/02/2025
ID_291,Jimmy Houston,John Bruce123,Male,21,BS-CS,65,,,58,?,,
293,  Barry Johnson  ,Cory Lewis,F,-5,,eighty,90 ,-30,,,123City,not_a_date
ID_293,AARON EDWARDS,Colleen Steele123,,,BS-CS,eighty,,80,NULL,?,123City,"April 14, 2023"
ID_294,  David Davis  ,unknown,M,200,BSCS,eighty,,absent,9,120,MACIASVILLE,2013-09-16
,,Charles Charles,,28,12th,eighty,,83,,86,East Nathan,2025.08.10
ID_296,JACKSON JONES,David Harrell,Male,22,BSCS,N/A,,108,91,,,not_a_date
298,Jeffrey Molina,,unknown,,11th,eighty,90 ,absent,,?,,
ID_298,,Stephanie Cortez,,200,,103,,absent,,?,,not_a_date
ID_299,KATHLEEN LUTZ,unknown,unknown,200,bs-cs,27,115,absent,NULL,127,,2024.11.10
301,,unknown,F,16,11th,N/A,,10,NULL,,,1973-08-27
302,,unknown,F,200,bs-cs,30,114,absent,77,7,,1972-09-14
303,David Jones,Matthew Martin,F,25,bs-cs,-2,90 ,2,,?,,"February 26, 2022"
,Lindsey Smith,,M,twenty,bs-cs,50,,101,,-11,PORT RYAN,"February 07, 2021"
ID_304,  William Reynolds  ,Brent Hoover,Male,-5,10th,eighty,81,,39,12,,2003-06-05
ID_305,  Terri Clements  ,unknown,,twenty,BS-CS,N/A,,82,81,,,
307,,unknown,,-5,11th,eighty,,,NULL,?,,
